id,time0,,,
r_0895,0,,,
r_0896,0,,,
r_0897,0,,,
r_0898,0,,,
r_0901,0.00E+00,,,
r_0902,-0.006727019,,,
r_0903,0,,,
r_0904,0.448467967,,,
r_0905,-1.73E-48,,,
r_0906,-6.05E-18,,,
r_0907,6.05E-18,,,
r_0908,6.05E-18,,,
r_0909,-6.05E-18,,,
r_0910,6.05E-18,,,
r_0911,-7.01E-17,,,
r_0912,0,,,
r_0913,0.00E+00,,,
r_0914,0,,,
r_0915,0,,,
r_0916,0,,,
r_0917,0,,,
r_0918,0,,,
r_0919,0,,,
r_0921,0.00E+00,,,
r_0922,0,,,
r_0923,0,,,
r_0924,0,,,
r_0925,0.00E+00,,,
r_0926,0,,,
r_0927,0,,,
r_0928,0,,,
r_0929,0.00E+00,,,
r_0930,0.00E+00,,,
r_0931,0.00E+00,,,
r_0932,0,,,
r_0934,4.70E-31,,,
r_0935,0,,,
r_0936,0,,,
r_0937,0,,,
r_0938,0,,,
r_0939,-1.228286908,,,
r_0940,-1.228286908,,,
r_0941,0,,,
r_0942,0,,,
r_0943,6.60E-16,,,
r_0944,0,,,
r_0945,-2.63E-01,,,
r_0946,2.63E-01,,,
r_0947,0,,,
r_0948,0,,,
r_0949,0.448467967,,,
r_0950,0.448467967,,,
r_0951,0,,,
r_0952,0,,,
r_0953,0.00E+00,,,
r_0954,0,,,
r_0955,-6.05E-18,,,
r_0956,0,,,
r_0957,0,,,
r_0958,0,,,
r_0959,0.00E+00,,,
r_0960,0.00E+00,,,
r_0961,0,,,
r_0962,0,,,
r_0963,0,,,
r_0964,0,,,
r_0965,0,,,
r_0966,-0.224233983,,,
r_0968,0,,,
r_0969,0,,,
r_0970,0,,,
r_0971,0,,,
r_0972,2.928356546,,,
r_0973,2.928356546,,,
r_0974,0,,,
r_0975,0,,,
r_0976,0,,,
r_0977,0,,,
r_0978,0,,,
r_0979,0,,,
r_0980,0,,,
r_0981,0,,,
r_0982,0,,,
r_0983,0,,,
r_0984,0,,,
r_0985,0,,,
r_0986,0,,,
r_0987,0,,,
r_0988,0,,,
r_0989,0,,,
r_0990,0,,,
r_0991,0,,,
r_0992,0,,,
r_0993,0,,,
r_0994,0,,,
r_0995,0,,,
r_0996,0,,,
r_0997,0,,,
r_0998,0,,,
r_0999,0,,,
r_1000,0,,,
r_1001,0,,,
r_1002,0,,,
r_1003,0,,,
r_1004,0,,,
r_1005,0,,,
r_1006,0,,,
r_1007,0,,,
r_1008,0,,,
r_1009,0,,,
r_1010,0,,,
r_1011,0,,,
r_1012,0,,,
r_1013,0,,,
r_1014,0,,,
r_1015,0,,,
r_1016,0,,,
r_1017,0,,,
r_1018,0,,,
r_1019,0,,,
r_1020,0,,,
r_1021,0,,,
r_1022,0,,,
r_1023,0,,,
r_1024,0,,,
r_1025,0,,,
r_1026,0,,,
r_1027,0,,,
r_1028,0,,,
r_1029,0,,,
r_1030,0,,,
r_1031,0,,,
r_1032,0,,,
r_1033,0,,,
r_1034,0,,,
r_1035,0,,,
r_1036,0,,,
r_1037,0,,,
r_1038,0,,,
r_1039,0,,,
r_1040,0,,,
r_1041,0,,,
r_1042,0,,,
r_1043,0,,,
r_1044,0,,,
r_1045,0,,,
r_1046,0,,,
r_1047,0,,,
r_1048,0,,,
r_1049,0,,,
r_1050,0,,,
r_1051,0,,,
r_1052,0,,,
r_1053,0,,,
r_1054,0,,,
r_1055,0,,,
r_1056,0,,,
r_1057,0,,,
r_1058,0,,,
r_1059,0,,,
r_1060,0,,,
r_1061,0,,,
r_1062,0,,,
r_1064,0,,,
r_1065,0,,,
r_1068,0.448467967,,,
r_1070,1.14E-30,,,
